Parish (or part of parish),User-selected,Hundred,Hundred code,Hundred order,Market Town?,Other Towns,Deanery (old),Deanery code,Modern District,Modern District code,Inhabited houses,Families,Popn 1831,Males over 20,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Males >20 'weighting',"Farming, total",Non-agric employment,Profess-ionals etc,Others,GPI,GPI as % of Devon,,,
Abbots Bickington,,Black Torrington,3,1,,,Holsworthy,9,Torridge,9,13,14,77,19,2,0,17,0,0,0,0,0,0,11%,0%,89%,0%,0%,0%,0%,0%,0%,1.05,100%,0%,0%,0%,0.3,61%,,,
Abbotsham,,Shebbear,24,1,,,Hartland,8,Torridge,9,75,76,387,87,17,3,37,0,11,2,10,7,0,20%,3%,43%,0%,13%,2%,11%,8%,0%,0.96,66%,24%,2%,8%,0.41,84%,,GPI weighting factors (value to local economy compared to an agricultural labourer),
Abbotskerswell,,Haytor,17,1,,,Ipplepen,11,Teignbridge,5,93,93,442,92,12,7,51,0,16,6,0,0,0,13%,8%,55%,0%,17%,7%,0%,0%,0%,0.89,76%,17%,7%,0%,0.43,87%,,1,Agricultural labourers
Alphington,,Wonford,32,1,,Medium,Kenn,12,Exeter,1,237,258,"1,236",325,25,17,93,0,84,44,41,13,8,8%,5%,29%,0%,26%,14%,13%,4%,2%,1.12,42%,41%,14%,4%,0.69,141%,,3,Farmers who employed labourers
Alverdiscott,,Fremington,13,1,,,Hartland,8,Torridge,9,67,67,339,83,17,3,38,0,9,2,11,3,0,20%,4%,46%,0%,11%,2%,13%,4%,0%,1.04,70%,24%,2%,4%,0.45,92%,,2,Farmers who did not employ labourers
Alwington,,Shebbear,24,2,,,Hartland,8,Torridge,9,85,86,486,111,8,6,46,0,22,3,10,16,0,7%,5%,41%,0%,20%,3%,9%,14%,0%,0.97,54%,29%,3%,14%,0.4,81%,,1.5,Industrial workers
Arlington,,Shirwell,25,1,,,Shirwell,17,North Devon,10,39,40,235,61,13,7,14,0,10,4,2,4,7,21%,11%,23%,0%,16%,7%,3%,7%,11%,1.1,56%,31%,7%,7%,0.6,123%,,2.5,Craft and retail trade workers
Ashburton,,Teignbridge,29,1,Yes,,Moreton,13,Teignbridge,5,513,797,"4,165","1,046",69,24,262,130,306,67,134,45,9,7%,2%,25%,12%,29%,6%,13%,4%,1%,1.07,34%,55%,6%,4%,0.55,112%,,8,"Professionals, entrepreneurs etc"
Ashbury,,Black Torrington,3,2,,,Okehampton,14,West Devon,8,8,9,74,12,4,1,6,0,0,1,0,0,0,33%,8%,50%,0%,0%,8%,0%,0%,0%,0.69,92%,0%,8%,0%,0.38,77%,,1.5,Non-agricultural labourers
Ashcombe,,Exminster,12,1,,,Kenn,12,Teignbridge,5,51,61,320,97,7,0,57,0,26,1,0,5,1,7%,0%,59%,0%,27%,1%,0%,5%,1%,1.29,66%,28%,1%,5%,0.49,101%,,1,"Others (incl retired, sick etc)"
Ashford,,Braunton,4,1,,,Shirwell,17,North Devon,10,24,24,99,25,12,0,11,0,2,0,0,0,0,48%,0%,44%,0%,8%,0%,0%,0%,0%,1.07,92%,8%,0%,0%,0.53,107%,,1.5,Servants
Ashprington,,Coleridge,8,1,,,Totnes,24,South Hams,4,115,118,549,115,14,1,49,0,21,5,15,6,4,12%,1%,43%,0%,18%,4%,13%,5%,3%,0.89,56%,35%,4%,5%,0.4,82%,,,
Ashreigney / Ring Ash,,North Tawton & Winkleigh,28,1,,Medium,Torrington,23,Torridge,9,206,208,"1,038",247,47,15,137,0,39,0,8,1,0,19%,6%,55%,0%,16%,0%,3%,0%,0%,1.01,81%,19%,0%,0%,0.4,82%,,,
Ashton,,Exminster,12,2,,,Dunsford,7,Teignbridge,5,50,57,333,88,19,12,26,0,15,1,15,0,0,22%,14%,30%,0%,17%,1%,17%,0%,0%,1.12,65%,34%,1%,0%,0.53,107%,,,
Ashwater,,Black Torrington,3,3,,,Holsworthy,9,Torridge,9,159,159,862,233,67,3,122,0,31,1,9,0,0,29%,1%,52%,0%,13%,0%,4%,0%,0%,1.15,82%,17%,0%,0%,0.5,101%,,,
Atherington,,North Tawton & Winkleigh,28,2,,,Barnstaple,2,North Devon,10,114,117,592,147,28,0,71,0,34,1,6,5,2,19%,0%,48%,0%,23%,1%,4%,3%,1%,1.06,67%,29%,1%,3%,0.45,91%,,,
Aveton Gifford,,Ermington,11,1,,,Woodleigh,25,South Hams,4,178,180,939,217,22,9,118,0,51,3,1,5,8,10%,4%,54%,0%,24%,1%,0%,2%,4%,0.98,69%,28%,1%,2%,0.4,81%,,,
Awliscombe,,Hemyock,18,1,,,Dunkeswell,6,East Devon,6,103,115,598,166,29,11,89,0,25,5,0,0,7,17%,7%,54%,0%,15%,3%,0%,0%,4%,1.18,78%,19%,3%,0%,0.52,106%,,,
Axminster (incl Beerhall),1,Axminster,1,1,Yes,,Honiton,10,East Devon,6,522,562,"2,719",597,67,32,218,1,167,37,15,33,27,11%,5%,37%,0%,28%,6%,3%,6%,5%,0.93,53%,35%,6%,6%,0.48,97%,,,
Axmouth (incl Horsedown),4,Axminster,1,2,,,Honiton,10,East Devon,6,91,112,646,137,20,5,75,0,17,2,5,11,2,15%,4%,55%,0%,12%,1%,4%,8%,1%,0.9,73%,18%,1%,8%,0.35,71%,,,
Aylesbeare (excl Newton Poppleford),,East Budleigh,5,1,,,Aylesbeare,1,East Devon,6,78,78,437,145,20,50,48,0,19,1,5,2,0,14%,34%,33%,0%,13%,1%,3%,1%,0%,1.41,81%,17%,1%,1%,0.62,128%,,,
Bampton,,Bampton,2,1,Yes,,Tiverton,22,Mid Devon,7,368,407,"1,961",491,49,22,184,9,134,12,51,26,4,10%,4%,37%,2%,27%,2%,10%,5%,1%,1.07,52%,40%,2%,5%,0.47,97%,,,
Barnstaple,,Braunton,4,2,Yes,,Barnstaple,2,North Devon,10,"1,081","1,357","6,840","1,445",6,4,53,86,865,108,187,109,27,0%,0%,4%,6%,60%,7%,13%,8%,2%,0.9,4%,81%,7%,8%,0.54,109%,,,
Beaford,,Shebbear,24,3,,,Torrington,23,Torridge,9,111,111,624,137,17,0,73,0,31,2,8,6,0,12%,0%,53%,0%,23%,1%,6%,4%,0%,0.93,66%,28%,1%,4%,0.38,77%,,,
Beaworthy,,Black Torrington,3,4,,,Okehampton,14,West Devon,8,56,63,339,90,19,3,51,0,14,0,3,0,0,21%,3%,57%,0%,16%,0%,3%,0%,0%,1.13,81%,19%,0%,0%,0.45,93%,,,
Beer,3,Colyton,9,10,,,Honiton,10,East Devon,6,114,124,600,129,10,4,36,0,40,14,17,2,6,8%,3%,28%,0%,31%,11%,13%,2%,5%,0.92,39%,49%,11%,2%,0.54,110%,,,
Belstone,,Black Torrington,3,5,,,Okehampton,14,West Devon,8,37,39,206,50,5,15,17,3,5,0,0,5,0,10%,30%,34%,6%,10%,0%,0%,10%,0%,1.03,74%,16%,0%,10%,0.41,83%,,,
Bere Ferrers (incl Bere Alston),,Roborough,23,2,Historically,,Tamerton,19,West Devon,8,330,347,"1,876",382,56,5,189,0,56,7,48,7,14,15%,1%,49%,0%,15%,2%,13%,2%,4%,0.87,65%,31%,2%,2%,0.35,72%,,,
Berry Pomeroy,,Haytor,17,2,,Medium,Ipplepen,11,South Hams,4,122,222,"1,186",313,15,1,107,0,124,7,30,23,6,5%,0%,34%,0%,40%,2%,10%,7%,2%,1.12,39%,51%,2%,7%,0.5,103%,,,
Berrynarbour,,Braunton,4,3,,,Shirwell,17,North Devon,10,153,165,794,188,23,13,71,0,42,2,17,20,0,12%,7%,38%,0%,22%,1%,9%,11%,0%,1.01,57%,31%,1%,11%,0.42,86%,,,
Bickington,,Teignbridge,29,2,,,Moreton,13,Teignbridge,5,57,63,351,76,20,0,30,1,12,0,13,0,0,26%,0%,39%,1%,16%,0%,17%,0%,0%,0.92,66%,34%,0%,0%,0.4,82%,,,
Bickleigh (near Plymouth),,Roborough,23,3,,,Tamerton,19,South Hams,4,69,78,466,129,13,5,59,0,26,4,17,5,0,10%,4%,46%,0%,20%,3%,13%,4%,0%,1.18,60%,33%,3%,4%,0.51,103%,,,
Bickleigh (near Tiverton),,Hayridge,16,1,,,Tiverton,22,Mid Devon,7,64,64,323,90,12,2,47,0,18,2,8,0,1,13%,2%,52%,0%,20%,2%,9%,0%,1%,1.19,68%,30%,2%,0%,0.5,102%,,,
Bicton (excl Dotton),,East Budleigh,5,3,,,Aylesbeare,1,East Devon,6,32,45,213,45,5,1,29,0,5,1,0,4,0,11%,2%,64%,0%,11%,2%,0%,9%,0%,0.9,78%,11%,2%,9%,0.33,68%,,,
Bideford,,Shebbear,24,4,Yes,,Hartland,8,Torridge,9,916,995,"4,846","1,070",17,6,101,0,452,97,204,157,36,2%,1%,9%,0%,42%,9%,19%,15%,3%,0.94,12%,65%,9%,15%,0.53,109%,,,
Bigbury,,Ermington,11,2,,,Woodleigh,25,South Hams,4,109,110,578,145,14,8,81,0,27,2,1,11,1,10%,6%,56%,0%,19%,1%,1%,8%,1%,1.07,71%,20%,1%,8%,0.41,84%,,,
Bishops Nympton,,Witheridge,31,1,,Medium,South Molton,18,North Devon,10,196,206,"1,116",284,35,15,146,0,67,1,0,20,0,12%,5%,51%,0%,24%,0%,0%,7%,0%,1.08,69%,24%,0%,7%,0.43,87%,,,
Bishops Tawton,,South Molton,20,3,,Large,Barnstaple,2,North Devon,10,269,304,"1,641",392,23,22,139,0,83,48,30,21,26,6%,6%,35%,0%,21%,12%,8%,5%,7%,1.02,47%,35%,12%,5%,0.58,118%,,,
Bishopsteignton,,Exminster,12,3,,Medium,Kenn,12,Teignbridge,5,195,202,"1,085",231,21,2,126,0,44,14,14,2,8,9%,1%,55%,0%,19%,6%,6%,1%,3%,0.91,65%,29%,6%,1%,0.41,85%,,,
Bittadon,,Braunton,4,4,,,Shirwell,17,North Devon,10,8,10,57,13,2,0,10,0,0,0,0,1,0,15%,0%,77%,0%,0%,0%,0%,8%,0%,0.97,92%,0%,0%,8%,0.3,61%,,,
Black Torrington,,Black Torrington,3,6,,Medium,Holsworthy,9,Torridge,9,208,210,"1,083",239,27,26,98,0,40,2,11,35,0,11%,11%,41%,0%,17%,1%,5%,15%,0%,0.94,63%,21%,1%,15%,0.37,75%,,,
Blackawton,,Coleridge,8,2,,Medium,Totnes,24,South Hams,4,212,271,"1,477",351,36,7,157,0,75,5,25,46,0,10%,2%,45%,0%,21%,1%,7%,13%,0%,1.01,57%,28%,1%,13%,0.4,82%,,,
Bondleigh,,North Tawton & Winkleigh,28,5,,,Chulmleigh,5,West Devon,8,62,63,339,81,19,0,53,0,6,0,0,3,0,23%,0%,65%,0%,7%,0%,0%,4%,0%,1.02,89%,7%,0%,4%,0.38,77%,,,
Bovey Tracey,,Teignbridge,29,4,Historically,,Moreton,13,Teignbridge,5,319,352,"1,697",426,34,0,237,0,103,5,18,19,10,8%,0%,56%,0%,24%,1%,4%,4%,2%,1.07,64%,31%,1%,4%,0.41,84%,,,
Bow (or Nymet Tracy),,North Tawton & Winkleigh,28,3,Historically,,Chulmleigh,5,Mid Devon,7,181,205,962,232,10,7,66,0,66,18,43,22,0,4%,3%,28%,0%,28%,8%,19%,9%,0%,1.03,36%,47%,8%,9%,0.53,107%,,,
"Boyton (Mostly Cornwall, but Northcott = Devon)",,Black Torrington,3,7,,,Trigg Major (Cornwall),26,Torridge,9,18,19,105,30,5,6,16,0,3,0,0,0,0,17%,20%,53%,0%,10%,0%,0%,0%,0%,1.22,90%,10%,0%,0%,0.48,98%,,,
Bradford,,Black Torrington,3,8,,,Holsworthy,9,Torridge,9,83,83,487,118,30,0,59,0,15,0,5,8,1,25%,0%,50%,0%,13%,0%,4%,7%,1%,1.03,75%,18%,0%,7%,0.42,85%,,,
Bradninch,,Hayridge,16,2,Historically,,Plymtree,16,Mid Devon,7,310,315,"1,524",398,35,7,170,0,147,9,2,26,2,9%,2%,43%,0%,37%,2%,1%,7%,1%,1.11,53%,38%,2%,7%,0.5,102%,,,
Bradstone,,Lifton,19,1,,,Tavistock,20,West Devon,8,18,25,162,45,6,0,20,0,7,1,4,7,0,13%,0%,44%,0%,16%,2%,9%,16%,0%,1.18,58%,24%,2%,16%,0.47,97%,,,
Bradworthy,,Black Torrington,3,9,,Medium,Holsworthy,9,Torridge,9,170,184,"1,027",239,38,13,147,0,21,1,6,13,0,16%,5%,62%,0%,9%,0%,3%,5%,0%,0.99,83%,11%,0%,5%,0.36,74%,,,
Brampford Speke,,Wonford,32,2,,,Cadbury,3,East Devon,6,67,69,374,90,10,4,38,0,19,4,1,5,9,11%,4%,42%,0%,21%,4%,1%,6%,10%,1.02,58%,32%,4%,6%,0.47,96%,,,
Branscombe,5,Colyton,9,1,,,Aylesbeare,1,East Devon,6,169,185,829,205,18,3,102,0,49,2,11,12,8,9%,1%,50%,0%,24%,1%,5%,6%,4%,1.05,60%,33%,1%,6%,0.41,84%,,,
Bratton Clovelly,,Lifton,19,2,,,Okehampton,14,West Devon,8,127,127,787,208,38,4,125,0,30,1,6,4,0,18%,2%,60%,0%,14%,0%,3%,2%,0%,1.12,80%,17%,0%,2%,0.44,89%,,,
Bratton Fleming,,Braunton,4,5,,,Shirwell,17,North Devon,10,89,103,534,136,26,3,76,0,25,2,0,0,4,19%,2%,56%,0%,18%,1%,0%,0%,3%,1.08,77%,21%,1%,0%,0.46,94%,,,
Braunton,,Braunton,4,6,,Large,Shirwell,17,North Devon,10,389,401,"2,047",489,53,50,93,0,95,10,90,79,19,11%,10%,19%,0%,19%,2%,18%,16%,4%,1.02,40%,42%,2%,16%,0.45,91%,,,
Brendon,,Shirwell,25,2,,,Shirwell,17,North Devon,10,50,52,259,74,10,6,42,0,10,0,1,5,0,14%,8%,57%,0%,14%,0%,1%,7%,0%,1.22,78%,15%,0%,7%,0.45,91%,,,
Brentor,,Tavistock,27,1,,,Tavistock,20,West Devon,8,21,25,147,39,9,3,17,0,6,0,4,0,0,23%,8%,44%,0%,15%,0%,10%,0%,0%,1.13,74%,26%,0%,0%,0.48,99%,,,
Bridestowe,,Lifton,19,3,,,Tavistock,20,West Devon,8,156,172,907,244,25,13,81,1,52,5,64,3,0,10%,5%,33%,0%,21%,2%,26%,1%,0%,1.14,49%,48%,2%,1%,0.5,102%,,,
Bridford,,Wonford,32,3,,,Dunsford,7,Teignbridge,5,79,97,529,141,14,8,96,0,20,1,0,2,0,10%,6%,68%,0%,14%,1%,0%,1%,0%,1.13,84%,14%,1%,1%,0.4,83%,,,
Bridgerule (Mostly Cornwall. Devon part only),,Black Torrington,3,10,,,Holsworthy,9,Torridge,9,32,39,217,52,10,4,27,0,4,2,0,5,0,19%,8%,52%,0%,8%,4%,0%,10%,0%,1.02,79%,8%,4%,10%,0.44,90%,,,
Brixham (All Saints & St Mary),,Haytor,17,3,Yes,,Ipplepen,11,Torbay,3,969,"1,004","5,015",697,19,12,180,0,236,40,116,80,14,3%,2%,26%,0%,34%,6%,17%,11%,2%,0.59,30%,53%,6%,11%,0.29,59%,,,
Brixton,,Plympton,22,1,,,Plympton,15,South Hams,4,142,145,796,179,20,4,81,0,39,4,18,10,3,11%,2%,45%,0%,22%,2%,10%,6%,2%,0.96,59%,34%,2%,6%,0.4,82%,,,
Broadclyst,,Cliston,7,1,,Large,Aylesbeare,1,East Devon,6,382,426,"2,085",560,54,3,323,0,65,3,63,47,2,10%,1%,58%,0%,12%,1%,11%,8%,0%,1.14,68%,23%,1%,8%,0.39,81%,,,
Broadhembury,,Hayridge,16,3,,,Plymtree,16,East Devon,6,170,173,849,228,33,11,124,0,34,1,14,11,0,14%,5%,54%,0%,15%,0%,6%,5%,0%,1.14,74%,21%,0%,5%,0.44,89%,,,
Broadhempston,,Haytor,17,4,,,Ipplepen,11,Teignbridge,5,159,162,748,165,13,3,77,0,60,4,0,7,1,8%,2%,47%,0%,36%,2%,0%,4%,1%,0.94,56%,37%,2%,4%,0.42,85%,,,
Broadwoodkelly,,Black Torrington,3,11,,,Okehampton,14,West Devon,8,73,77,388,97,23,0,52,0,10,1,0,11,0,24%,0%,54%,0%,10%,1%,0%,11%,0%,1.06,77%,10%,1%,11%,0.43,87%,,,
Broadwoodwidger,,Lifton,19,4,,,Tavistock,20,Torridge,9,145,155,879,225,13,35,141,0,30,2,0,4,0,6%,16%,63%,0%,13%,1%,0%,2%,0%,1.09,84%,13%,1%,2%,0.39,80%,,,
Brushford,,North Tawton & Winkleigh,28,4,,,Chulmleigh,5,Mid Devon,7,25,25,136,29,6,0,20,0,2,0,0,1,0,21%,0%,69%,0%,7%,0%,0%,3%,0%,0.91,90%,7%,0%,3%,0.32,66%,,,
Buckerell,,Hemyock,18,2,,,Plymtree,16,East Devon,6,56,62,304,85,14,6,30,0,9,4,17,5,0,16%,7%,35%,0%,11%,5%,20%,6%,0%,1.19,59%,31%,5%,6%,0.56,114%,,,
Buckfastleigh,,Stanborough,26,4,Historically,,Totnes,24,Teignbridge,5,452,492,"2,445",592,22,21,117,100,169,13,127,18,5,4%,4%,20%,17%,29%,2%,21%,3%,1%,1.03,27%,68%,2%,3%,0.46,93%,,,
Buckland Brewer,,Shebbear,24,5,,Medium,Hartland,8,Torridge,9,200,207,"1,096",234,41,9,119,0,55,7,0,0,3,18%,4%,51%,0%,24%,3%,0%,0%,1%,0.91,72%,25%,3%,0%,0.42,85%,,,
Buckland Filleigh,,Shebbear,24,6,,,Torrington,23,Torridge,9,53,57,317,73,8,1,43,0,10,1,5,3,2,11%,1%,59%,0%,14%,1%,7%,4%,3%,0.98,71%,23%,1%,4%,0.36,74%,,,
Buckland in the Moor,,Haytor,17,5,,,Moreton,13,Teignbridge,5,22,22,139,38,10,1,23,0,1,0,0,0,3,26%,3%,61%,0%,3%,0%,0%,0%,8%,1.16,89%,11%,0%,0%,0.45,91%,,,
Buckland Monachorum,,Roborough,23,4,,Medium,Tamerton,19,West Devon,8,225,246,"1,274",331,18,29,101,0,62,7,70,35,9,5%,9%,31%,0%,19%,2%,21%,11%,3%,1.11,45%,43%,2%,11%,0.45,93%,,,
Buckland Tout Saints,,Coleridge,8,3,,,Woodleigh,25,South Hams,4,8,8,46,10,4,0,6,0,0,0,0,0,0,40%,0%,60%,0%,0%,0%,0%,0%,0%,0.93,100%,0%,0%,0%,0.39,80%,,,
Bulkworthy,,Shebbear,24,7,,,Hartland,8,Torridge,9,36,36,198,43,4,4,24,0,11,0,0,0,0,9%,9%,56%,0%,26%,0%,0%,0%,0%,0.92,74%,26%,0%,0%,0.36,74%,,,
Burlescombe,,Bampton,2,2,,,Tiverton,22,Mid Devon,7,196,226,999,258,26,15,113,0,72,8,10,10,4,10%,6%,44%,0%,28%,3%,4%,4%,2%,1.1,60%,33%,3%,4%,0.5,101%,,,
Burrington,,North Tawton & Winkleigh,28,6,,,Chulmleigh,5,North Devon,10,159,166,987,264,46,8,134,0,37,3,2,34,0,17%,3%,51%,0%,14%,1%,1%,13%,0%,1.14,71%,15%,1%,13%,0.45,91%,,,
Butterleigh,,Cliston,7,2,,,Plymtree,16,Mid Devon,7,29,31,142,45,6,0,24,0,12,0,0,3,0,13%,0%,53%,0%,27%,0%,0%,7%,0%,1.35,67%,27%,0%,7%,0.53,108%,,,
Cadbury,,Hayridge,16,4,,,Cadbury,3,Mid Devon,7,47,49,256,75,10,0,48,0,12,0,1,1,3,13%,0%,64%,0%,16%,0%,1%,1%,4%,1.25,77%,21%,0%,1%,0.45,92%,,,
Cadeleigh,,Hayridge,16,5,,,Cadbury,3,Mid Devon,7,59,78,312,82,11,4,50,0,13,1,0,3,0,13%,5%,61%,0%,16%,1%,0%,4%,0%,1.12,79%,16%,1%,4%,0.43,88%,,,
Calverleigh,,Tiverton,30,1,,,Tiverton,22,Mid Devon,7,16,18,91,23,5,0,7,0,2,1,0,5,3,22%,0%,30%,0%,9%,4%,0%,22%,13%,1.08,52%,22%,4%,22%,0.49,100%,,,
Chagford,,Wonford,32,4,Yes,,Dunsford,7,West Devon,8,290,315,"1,868",448,44,27,167,38,109,6,20,35,2,10%,6%,37%,8%,24%,1%,4%,8%,0%,1.02,53%,38%,1%,8%,0.43,87%,,,
Challacombe,,Shirwell,25,3,,,Shirwell,17,North Devon,10,47,55,240,71,15,0,40,0,13,0,3,0,0,21%,0%,56%,0%,18%,0%,4%,0%,0%,1.26,77%,23%,0%,0%,0.51,104%,,,
"Chardstock (from Dorset, 1896; incl All Saints)",,Not Devon,99,1,,Not Devon,Honiton (later),99,East Devon,6,276,284,"1,357",337,55,44,134,0,71,5,6,12,10,16%,13%,40%,0%,21%,1%,2%,4%,3%,1.06,69%,26%,1%,4%,0.47,96%,,,
Charles,,Shirwell,25,4,,,Shirwell,17,North Devon,10,62,69,343,84,12,6,41,0,19,2,0,4,0,14%,7%,49%,0%,23%,2%,0%,5%,0%,1.04,70%,23%,2%,5%,0.46,93%,,,
Charleton,,Coleridge,8,4,,,Woodleigh,25,South Hams,4,129,135,644,157,21,7,72,1,25,2,12,16,1,13%,4%,46%,1%,16%,1%,8%,10%,1%,1.04,64%,25%,1%,10%,0.41,84%,,,
Chawleigh,,North Tawton & Winkleigh,28,7,,,Chulmleigh,5,Mid Devon,7,150,154,865,215,25,6,109,0,54,2,4,15,0,12%,3%,51%,0%,25%,1%,2%,7%,0%,1.06,65%,27%,1%,7%,0.43,87%,,,
Cheldon,,Witheridge,31,2,,,South Molton,18,North Devon,10,19,19,90,24,3,0,20,0,0,0,0,1,0,13%,0%,83%,0%,0%,0%,0%,4%,0%,1.13,96%,0%,0%,4%,0.33,68%,,,
Cheriton Bishop,,Wonford,32,5,,,Dunsford,7,Mid Devon,7,140,148,799,234,30,0,150,0,33,3,7,9,2,13%,0%,64%,0%,14%,1%,3%,4%,1%,1.25,77%,18%,1%,4%,0.46,94%,,,
Cheriton Fitzpaine,,West Budleigh,6,1,,Medium,Cadbury,3,Mid Devon,7,188,193,"1,085",261,26,6,146,0,64,6,6,6,1,10%,2%,56%,0%,25%,2%,2%,2%,0%,1.02,68%,27%,2%,2%,0.42,87%,,,
Chittlehampton (incl Chittlehamholt),,South Molton,20,4,,Large,Barnstaple,2,North Devon,10,373,380,"1,897",477,46,42,233,0,115,6,0,33,2,10%,9%,49%,0%,24%,1%,0%,7%,0%,1.07,67%,25%,1%,7%,0.44,89%,,,
Chivelstone,,Coleridge,8,5,,,Woodleigh,25,South Hams,4,114,123,601,149,15,4,91,0,26,0,8,5,0,10%,3%,61%,0%,17%,0%,5%,3%,0%,1.06,74%,23%,0%,3%,0.38,77%,,,
Christow,,Wonford,32,6,,,Dunsford,7,Teignbridge,5,100,109,601,170,28,0,114,0,17,3,5,0,3,16%,0%,67%,0%,10%,2%,3%,0%,2%,1.2,84%,15%,2%,0%,0.46,94%,,,
