Parish (or part of parish),User-selected,Hundred,Hundred code,Hundred order,Market Town?,Other Towns,Deanery (old),Deanery code,Modern District,Modern District code,Inhabited houses,Families,Popn 1831,Males over 20,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Males >20 'weighting',"Farming, total",Non-agric employment,Profess-ionals etc,Others,GPI,GPI as % of Devon,,,
South Milton,,Stanborough,26,15,,,Woodleigh,25,South Hams,4,70,76,415,95,16,0,51,0,19,0,3,6,0,17%,0%,54%,0%,20%,0%,3%,6%,0%,0.97,71%,23%,0%,6%,0.38,77%,,,
South Molton,,South Molton,20,10,Yes,,South Molton,18,North Devon,10,783,790,"3,826",819,61,40,220,67,214,23,130,57,7,7%,5%,27%,8%,26%,3%,16%,7%,1%,0.91,39%,51%,3%,7%,0.41,84%,,,
South Pool,,Coleridge,8,12,,,Woodleigh,25,South Hams,4,95,106,567,140,14,6,69,0,29,2,13,5,2,10%,4%,49%,0%,21%,1%,9%,4%,1%,1.05,64%,31%,1%,4%,0.42,86%,,,
South Tawton,,Wonford,32,27,Historically,,Dunsford,7,West Devon,8,336,379,"1,937",443,40,17,173,0,86,5,90,32,0,9%,4%,39%,0%,19%,1%,20%,7%,0%,0.97,52%,40%,1%,7%,0.39,79%,,,
Southleigh,3,Colyton,9,6,,,Honiton,10,East Devon,6,49,60,320,80,11,9,48,0,7,0,0,5,0,14%,11%,60%,0%,9%,0%,0%,6%,0%,1.06,85%,9%,0%,6%,0.38,78%,,,
Sowton,,Wonford,32,23,,,Aylesbeare,1,East Devon,6,66,74,391,101,10,1,51,0,18,6,9,5,1,10%,1%,50%,0%,18%,6%,9%,5%,1%,1.1,61%,28%,6%,5%,0.5,102%,,,
Spreyton,,Wonford,32,24,,,Dunsford,7,West Devon,8,70,83,423,110,13,5,68,0,13,6,0,5,0,12%,5%,62%,0%,12%,5%,0%,5%,0%,1.11,78%,12%,5%,5%,0.48,98%,,,
St Budeaux (small part in Cornwall),,Roborough,23,5,,,Three Towns,21,Plymouth,2,118,124,669,170,22,1,71,0,21,10,13,32,0,13%,1%,42%,0%,12%,6%,8%,19%,0%,1.08,55%,20%,6%,19%,0.48,99%,,,
St Giles in the Heath (was Cornwall),,Black Torrington,3,15,,,Trigg Major (Cornwall),26,Torridge,9,46,64,357,103,11,5,54,0,25,2,3,3,0,11%,5%,52%,0%,24%,2%,3%,3%,0%,1.23,68%,27%,2%,3%,0.51,105%,,,
St Giles in the Wood,,Fremington,13,3,,,Torrington,23,Torridge,9,157,160,894,187,27,1,100,0,26,2,22,7,2,14%,1%,53%,0%,14%,1%,12%,4%,1%,0.89,68%,27%,1%,4%,0.34,70%,,,
Staverton,,Haytor,17,18,,Medium,Ipplepen,11,South Hams,4,199,213,"1,055",257,50,0,117,0,73,4,1,11,1,19%,0%,46%,0%,28%,2%,0%,4%,0%,1.04,65%,29%,2%,4%,0.47,96%,,,
"Stockland (from Dorset, 1844)",,Not Devon,99,4,,Not Devon,Honiton (later),99,East Devon,6,236,261,"1,206",316,36,26,120,0,89,5,11,24,5,11%,8%,38%,0%,28%,2%,3%,8%,2%,1.12,58%,33%,2%,8%,0.49,100%,,,
Stockleigh English,,West Budleigh,6,4,,,Cadbury,3,Mid Devon,7,24,28,144,39,10,0,21,0,5,2,1,0,0,26%,0%,54%,0%,13%,5%,3%,0%,0%,1.15,79%,15%,5%,0%,0.56,115%,,,
Stockleigh Pomeroy,,West Budleigh,6,5,,,Cadbury,3,Mid Devon,7,41,42,238,64,9,2,42,0,10,1,0,0,0,14%,3%,66%,0%,16%,2%,0%,0%,0%,1.14,83%,16%,2%,0%,0.45,91%,,,
Stoke Canon,,Wonford,32,25,,,Aylesbeare,1,East Devon,6,62,80,446,113,14,4,39,0,36,5,13,2,0,12%,4%,35%,0%,32%,4%,12%,2%,0%,1.08,50%,43%,4%,2%,0.54,110%,,,
Stoke Damerel / Devonport,,Plymouth Borough,34,3,,Plymouth/SD,Three Towns,21,Plymouth,2,"3,394","8,312","34,883","7,575",5,29,44,0,"3,966",562,"1,107","1,811",51,0%,0%,1%,0%,52%,7%,15%,24%,1%,0.92,1%,68%,7%,24%,0.52,106%,,,
Stoke Fleming,,Coleridge,8,17,,,Totnes,24,South Hams,4,127,158,725,174,24,2,75,0,36,9,12,14,2,14%,1%,43%,0%,21%,5%,7%,8%,1%,1.02,58%,29%,5%,8%,0.48,98%,,,
Stoke Gabriel,,Haytor,17,19,,,Ipplepen,11,South Hams,4,146,157,718,180,18,2,95,0,49,5,4,7,0,10%,1%,53%,0%,27%,3%,2%,4%,0%,1.07,64%,29%,3%,4%,0.46,94%,,,
Stoke Rivers,,Shirwell,25,12,,,Shirwell,17,North Devon,10,50,51,270,66,11,0,45,0,9,0,0,1,0,17%,0%,68%,0%,14%,0%,0%,2%,0%,1.04,85%,14%,0%,2%,0.38,77%,,,
Stokeinteignhead,,Wonford,32,26,,,Kenn,12,Teignbridge,5,123,126,621,141,22,6,75,0,13,7,5,13,0,16%,4%,53%,0%,9%,5%,4%,9%,0%,0.97,73%,13%,5%,9%,0.42,86%,,,
Stokenham,,Coleridge,8,18,,Large,Woodleigh,25,South Hams,4,307,315,"1,609",361,35,12,142,0,66,12,75,13,6,10%,3%,39%,0%,18%,3%,21%,4%,2%,0.95,52%,41%,3%,4%,0.41,85%,,,
Stoodleigh (incl Highley St Mary),,Witheridge,31,14,,,South Molton,18,Mid Devon,7,82,89,524,145,27,1,92,0,19,3,3,0,0,19%,1%,63%,0%,13%,2%,2%,0%,0%,1.18,83%,15%,2%,0%,0.48,98%,,,
Stowford,,Lifton,19,18,,,Tavistock,20,West Devon,8,87,87,463,120,11,7,46,0,22,4,22,3,5,9%,6%,38%,0%,18%,3%,18%,3%,4%,1.1,53%,41%,3%,3%,0.48,99%,,,
Sutcombe,,Black Torrington,3,32,,,Holsworthy,9,Torridge,9,72,72,491,117,27,0,90,0,0,0,0,0,0,23%,0%,77%,0%,0%,0%,0%,0%,0%,1.01,100%,0%,0%,0%,0.35,71%,,,
Swimbridge,,South Molton,20,12,,Large,Barnstaple,2,North Devon,10,291,305,"1,511",389,39,10,155,0,70,4,30,76,5,10%,3%,40%,0%,18%,1%,8%,20%,1%,1.1,52%,27%,1%,20%,0.42,85%,,,
Sydenham Damerel,,Lifton,19,19,,,Tavistock,20,West Devon,8,60,62,296,81,12,0,52,0,12,1,2,0,2,15%,0%,64%,0%,15%,1%,2%,0%,2%,1.16,79%,20%,1%,0%,0.45,91%,,,
Talaton,,Hayridge,16,15,,,Plymtree,16,East Devon,6,91,101,479,121,17,6,51,0,28,3,4,6,6,14%,5%,42%,0%,23%,2%,3%,5%,5%,1.08,61%,31%,2%,5%,0.48,98%,,,
Tamerton Foliot,,Roborough,23,13,,Medium,Tamerton,19,South Hams,4,182,207,"1,061",245,20,14,124,0,42,16,5,15,9,8%,6%,51%,0%,17%,7%,2%,6%,4%,0.98,64%,23%,7%,6%,0.45,93%,,,
Tavistock,,Tavistock,27,3,Yes,,Tavistock,20,West Devon,8,778,"1,089","5,602","1,302",63,11,272,1,459,104,276,46,70,5%,1%,21%,0%,35%,8%,21%,4%,5%,0.99,27%,62%,8%,4%,0.54,111%,,,
Tawstock,,Fremington,13,10,,Medium,Barnstaple,2,North Devon,10,236,259,"1,348",360,77,30,165,0,64,3,3,13,5,21%,8%,46%,0%,18%,1%,1%,4%,1%,1.14,76%,20%,1%,4%,0.49,101%,,,
Tedburn St Mary,,Wonford,32,28,,,Dunsford,7,Teignbridge,5,135,143,821,227,29,10,124,0,46,5,6,7,0,13%,4%,55%,0%,20%,2%,3%,3%,0%,1.18,72%,23%,2%,3%,0.49,100%,,,
Teigngrace,,Teignbridge,29,13,,,Moreton,13,Teignbridge,5,27,27,160,31,4,0,11,0,7,0,6,1,2,13%,0%,35%,0%,23%,0%,19%,3%,6%,0.82,48%,48%,0%,3%,0.33,68%,,,
Templeton,,Witheridge,31,15,,,South Molton,18,Mid Devon,7,44,45,222,66,14,0,32,0,13,0,0,7,0,21%,0%,48%,0%,20%,0%,0%,11%,0%,1.27,70%,20%,0%,11%,0.51,104%,,,
Tetcott,,Black Torrington,3,33,,,Holsworthy,9,Torridge,9,56,57,293,62,7,13,31,0,8,1,0,1,1,11%,21%,50%,0%,13%,2%,0%,2%,2%,0.9,82%,15%,2%,2%,0.37,76%,,,
Thelbridge,,Witheridge,31,16,,,South Molton,18,Mid Devon,7,45,45,219,55,11,1,39,0,3,1,0,0,0,20%,2%,71%,0%,5%,2%,0%,0%,0%,1.07,93%,5%,2%,0%,0.41,84%,,,
Thornbury,,Black Torrington,3,34,,,Holsworthy,9,Torridge,9,106,109,546,126,21,28,46,0,13,1,0,17,0,17%,22%,37%,0%,10%,1%,0%,13%,0%,0.98,75%,10%,1%,13%,0.41,83%,,,
"Thorncombe (to Dorset, 1844)",4,Axminster,1,11,Historically,,Honiton,10,No longer Devon,99,264,272,"1,368",348,33,10,156,0,57,10,47,29,6,9%,3%,45%,0%,16%,3%,14%,8%,2%,1.08,57%,32%,3%,8%,0.44,91%,,,
Thorverton,,Hayridge,16,16,,Medium,Cadbury,3,Mid Devon,7,302,311,"1,455",362,24,5,154,1,112,22,12,28,4,7%,1%,43%,0%,31%,6%,3%,8%,1%,1.06,51%,36%,6%,8%,0.51,105%,,,
Throwleigh,,Wonford,32,30,,,Dunsford,7,West Devon,8,70,72,460,91,16,7,38,0,16,3,0,11,0,18%,8%,42%,0%,18%,3%,0%,12%,0%,0.84,67%,18%,3%,12%,0.38,78%,,,
Thrushelton,,Lifton,19,20,,,Tavistock,20,West Devon,8,72,95,353,130,22,8,47,0,14,0,37,2,0,17%,6%,36%,0%,11%,0%,28%,2%,0%,1.57,59%,39%,0%,2%,0.63,128%,,,
Thurlestone,,Stanborough,26,18,,,Woodleigh,25,South Hams,4,89,89,466,110,11,11,62,0,14,3,4,5,0,10%,10%,56%,0%,13%,3%,4%,5%,0%,1,76%,16%,3%,5%,0.4,82%,,,
Tiverton Clare,,Tiverton,30,4,,,Tiverton,22,Mid Devon,7,79,80,398,113,20,9,60,0,20,2,0,0,2,18%,8%,53%,0%,18%,2%,0%,0%,2%,1.21,79%,19%,2%,0%,0.52,106%,,,
Tiverton Pitt,,Tiverton,30,5,,,Tiverton,22,Mid Devon,7,123,129,684,180,39,10,91,0,24,6,1,4,5,22%,6%,51%,0%,13%,3%,1%,2%,3%,1.12,78%,17%,3%,2%,0.51,104%,,,
Tiverton Pryors,,Tiverton,30,6,,,Tiverton,22,Mid Devon,7,91,95,528,143,32,6,78,1,13,4,3,4,2,22%,4%,55%,1%,9%,3%,2%,3%,1%,1.15,81%,13%,3%,3%,0.5,102%,,,
Tiverton Tidcombe,,Tiverton,30,7,,,Tiverton,22,Mid Devon,7,93,101,571,152,27,11,71,0,19,11,1,2,10,18%,7%,47%,0%,13%,7%,1%,1%,7%,1.13,72%,20%,7%,1%,0.57,117%,,,
Tiverton Town,,Tiverton,30,8,Yes,,Tiverton,22,Mid Devon,7,"1,488","1,628","7,585","1,729",3,7,290,55,717,139,381,93,44,0%,0%,17%,3%,41%,8%,22%,5%,3%,0.97,17%,69%,8%,5%,0.53,109%,,,
Topsham,,Wonford,32,31,Yes,,Aylesbeare,1,Exeter,1,610,702,"3,184",720,9,22,75,0,267,63,215,46,23,1%,3%,10%,0%,37%,9%,30%,6%,3%,0.96,15%,70%,9%,6%,0.54,110%,,,
Torbryan,,Haytor,17,20,,,Ipplepen,11,Teignbridge,5,51,52,257,64,15,0,39,0,4,2,0,3,1,23%,0%,61%,0%,6%,3%,0%,5%,2%,1.06,84%,8%,3%,5%,0.45,91%,,,
Tormoham (Torquay),,Haytor,17,21,,Large,Ipplepen,11,Torbay,3,551,626,"3,582",816,6,6,36,0,439,64,130,74,61,1%,1%,4%,0%,54%,8%,16%,9%,7%,0.97,6%,77%,8%,9%,0.57,116%,,,
Torquay St Marychurch,,Haytor,17,16,,Medium,Ipplepen,11,Torbay,3,232,276,"1,204",305,16,9,88,0,73,20,58,32,9,5%,3%,29%,0%,24%,7%,19%,10%,3%,1.08,37%,46%,7%,10%,0.52,107%,,,
Totnes,,Coleridge,8,19,Yes,,Totnes,24,South Hams,4,375,731,"3,442",730,4,13,7,0,399,89,176,23,19,1%,2%,1%,0%,55%,12%,24%,3%,3%,0.9,3%,81%,12%,3%,0.6,123%,,,
Trentishoe,,Braunton,4,21,,,Shirwell,17,North Devon,10,31,31,128,35,8,5,17,0,4,1,0,0,0,23%,14%,49%,0%,11%,3%,0%,0%,0%,1.16,86%,11%,3%,0%,0.54,110%,,,
Trusham,,Exminster,12,17,,,Kenn,12,Teignbridge,5,39,42,207,56,5,1,34,0,12,2,0,2,0,9%,2%,61%,0%,21%,4%,0%,4%,0%,1.15,71%,21%,4%,4%,0.48,98%,,,
Twitchen,,South Molton,20,13,,,South Molton,18,North Devon,10,32,32,170,49,7,10,31,0,1,0,0,0,0,14%,20%,63%,0%,2%,0%,0%,0%,0%,1.23,98%,2%,0%,0%,0.44,90%,,,
Uffculme,,Bampton,2,7,Yes,,Tiverton,22,Mid Devon,7,416,520,"2,082",509,35,27,191,3,159,18,29,42,5,7%,5%,38%,1%,31%,4%,6%,8%,1%,1.04,50%,39%,4%,8%,0.48,97%,,,
Ugborough,,Ermington,11,11,,Medium,Plympton,15,South Hams,4,243,269,"1,467",377,48,20,186,0,69,5,23,24,2,13%,5%,49%,0%,18%,1%,6%,6%,1%,1.09,67%,25%,1%,6%,0.44,90%,,,
Uplowman,,Tiverton,30,9,,,Tiverton,22,Mid Devon,7,47,58,335,88,8,5,57,0,14,1,0,3,0,9%,6%,65%,0%,16%,1%,0%,3%,0%,1.12,80%,16%,1%,3%,0.41,84%,,,
Uplyme,3,Axminster,1,12,,,Honiton,10,East Devon,6,171,205,975,233,19,12,110,2,40,10,20,12,8,8%,5%,47%,1%,17%,4%,9%,5%,3%,1.02,61%,30%,4%,5%,0.44,90%,,,
Upottery,5,Axminster,1,13,,,Dunkeswell,6,East Devon,6,192,219,940,252,45,23,120,0,58,3,0,0,3,18%,9%,48%,0%,23%,1%,0%,0%,1%,1.14,75%,24%,1%,0%,0.5,103%,,,
Upton Hellions,,West Budleigh,6,6,,,Cadbury,3,Mid Devon,7,30,30,152,35,5,1,23,0,5,1,0,0,0,14%,3%,66%,0%,14%,3%,0%,0%,0%,0.98,83%,14%,3%,0%,0.4,81%,,,
Upton Pyne,,Wonford,32,32,,,Cadbury,3,East Devon,6,99,101,514,121,12,3,64,0,21,2,11,2,6,10%,2%,53%,0%,17%,2%,9%,2%,5%,1,65%,31%,2%,2%,0.39,80%,,,
Venn Ottery,,East Budleigh,5,20,,,Aylesbeare,1,East Devon,6,22,22,133,28,4,3,20,0,1,0,0,0,0,14%,11%,71%,0%,4%,0%,0%,0%,0%,0.9,96%,4%,0%,0%,0.3,62%,,,
Virginstow,,Lifton,19,21,,,Tavistock,20,Torridge,9,25,25,136,48,10,0,30,0,8,0,0,0,0,21%,0%,63%,0%,17%,0%,0%,0%,0%,1.5,83%,17%,0%,0%,0.59,120%,,,
Walkhampton,,Roborough,23,14,,,Tamerton,19,West Devon,8,96,109,691,223,18,20,44,0,44,6,75,16,0,8%,9%,20%,0%,20%,3%,34%,7%,0%,1.37,37%,53%,3%,7%,0.61,126%,,,
Warkleigh,,South Molton,20,14,,,South Molton,18,North Devon,10,55,55,283,73,13,6,39,0,3,1,2,9,0,18%,8%,53%,0%,4%,1%,3%,12%,0%,1.1,79%,7%,1%,12%,0.42,85%,,,
Washfield,,West Budleigh,6,7,,,Tiverton,22,Mid Devon,7,76,83,453,128,19,10,69,0,17,3,1,4,5,15%,8%,54%,0%,13%,2%,1%,3%,4%,1.2,77%,18%,2%,3%,0.5,102%,,,
Washford Pyne,,Witheridge,31,17,,,South Molton,18,Mid Devon,7,35,35,174,48,8,0,23,0,13,1,0,3,0,17%,0%,48%,0%,27%,2%,0%,6%,0%,1.17,65%,27%,2%,6%,0.52,106%,,,
Wear Gifford,,Shebbear,24,26,,,Hartland,8,Torridge,9,109,111,547,135,10,10,65,5,34,3,6,2,0,7%,7%,48%,4%,25%,2%,4%,1%,0%,1.05,63%,33%,2%,1%,0.44,91%,,,
Welcombe,,Hartland,15,3,,,Hartland,8,Torridge,9,55,65,258,61,13,7,34,0,7,0,0,0,0,21%,11%,56%,0%,11%,0%,0%,0%,0%,1.01,89%,11%,0%,0%,0.41,83%,,,
Wembury,,Plympton,22,7,,,Plympton,15,South Hams,4,97,110,652,198,16,0,154,0,13,4,0,2,9,8%,0%,78%,0%,7%,2%,0%,1%,5%,1.29,86%,11%,2%,1%,0.43,88%,,,
Wembworthy,,North Tawton & Winkleigh,28,18,,,Chulmleigh,5,Mid Devon,7,69,71,378,87,16,1,26,0,14,0,30,0,0,18%,1%,30%,0%,16%,0%,34%,0%,0%,0.98,49%,51%,0%,0%,0.41,84%,,,
"Werrington (to Cornwall, 1966)",,Black Torrington,3,35,,,Trigg Major (Cornwall),26,No longer Devon,99,112,118,661,173,34,0,87,2,14,4,21,9,2,20%,0%,50%,1%,8%,2%,12%,5%,1%,1.11,70%,23%,2%,5%,0.46,94%,,,
West Alvington,,Stanborough,26,2,,,Woodleigh,25,South Hams,4,161,161,872,213,27,0,125,0,41,0,0,20,0,13%,0%,59%,0%,19%,0%,0%,9%,0%,1.04,71%,19%,0%,9%,0.38,77%,,,
West Anstey,,South Molton,20,2,,,South Molton,18,North Devon,10,39,53,226,55,16,7,25,0,4,0,0,3,0,29%,13%,45%,0%,7%,0%,0%,5%,0%,1.04,87%,7%,0%,5%,0.44,90%,,,
West Buckland,,Braunton,4,8,,,Shirwell,17,North Devon,10,54,54,273,73,13,1,35,0,14,3,0,7,0,18%,1%,48%,0%,19%,4%,0%,10%,0%,1.14,67%,19%,4%,10%,0.52,106%,,,
West Down,,Braunton,4,11,,,Shirwell,17,North Devon,10,84,100,628,153,25,0,77,0,36,1,4,7,3,16%,0%,50%,0%,24%,1%,3%,5%,2%,1.04,67%,28%,1%,5%,0.43,87%,,,
West Ogwell,,Wonford,32,19,,,Kenn,12,Teignbridge,5,7,7,50,9,6,0,2,0,0,0,0,0,1,67%,0%,22%,0%,0%,0%,0%,0%,11%,0.77,89%,11%,0%,0%,0.43,88%,,,
West Putford,,Black Torrington,3,36,,,Holsworthy,9,Torridge,9,63,81,400,88,24,0,37,0,10,0,0,17,0,27%,0%,42%,0%,11%,0%,0%,19%,0%,0.94,69%,11%,0%,19%,0.38,77%,,,
West Teignmouth,,Exminster,12,16,,Large,Kenn,12,Teignbridge,5,523,574,"2,878",578,22,12,56,0,298,56,91,29,14,4%,2%,10%,0%,52%,10%,16%,5%,2%,0.85,16%,70%,10%,5%,0.53,108%,,,
West Worlington,,Witheridge,31,21,,,South Molton,18,North Devon,10,34,36,187,52,15,0,30,0,7,0,0,0,0,29%,0%,58%,0%,13%,0%,0%,0%,0%,1.18,87%,13%,0%,0%,0.49,101%,,,
Westleigh (near Bideford),,Fremington,13,7,,,Barnstaple,2,North Devon,10,88,89,484,109,15,0,36,0,30,2,0,22,4,14%,0%,33%,0%,28%,2%,0%,20%,4%,0.96,47%,31%,2%,20%,0.41,84%,,,
Whimple,,Cliston,7,5,,,Aylesbeare,1,East Devon,6,126,138,739,203,28,3,100,0,28,4,33,0,7,14%,1%,49%,0%,14%,2%,16%,0%,3%,1.17,65%,33%,2%,0%,0.48,97%,,,
Whitchurch,,Roborough,23,15,,,Tamerton,19,West Devon,8,133,141,791,203,41,0,125,0,22,0,13,0,2,20%,0%,62%,0%,11%,0%,6%,0%,1%,1.09,82%,18%,0%,0%,0.41,84%,,,
Whitestone,,Wonford,32,33,,,Dunsford,7,Teignbridge,5,123,135,643,176,23,11,103,0,27,4,0,7,1,13%,6%,59%,0%,15%,2%,0%,4%,1%,1.16,78%,16%,2%,4%,0.47,96%,,,
Whitrey,,Halberton,14,4,,,Tiverton,22,Mid Devon,7,20,28,122,31,3,2,20,0,4,0,0,2,0,10%,6%,65%,0%,13%,0%,0%,6%,0%,1.08,81%,13%,0%,6%,0.37,75%,,,
Widecombe in the Moor,,Haytor,17,22,Historically,,Moreton,13,Teignbridge,5,163,184,959,228,37,29,128,0,33,1,0,0,0,16%,13%,56%,0%,14%,0%,0%,0%,0%,1.01,85%,14%,0%,0%,0.4,83%,,,
Widworthy,4,Colyton,9,12,,,Honiton,10,East Devon,6,48,49,278,94,10,6,59,0,17,0,0,2,0,11%,6%,63%,0%,18%,0%,0%,2%,0%,1.44,80%,18%,0%,2%,0.52,107%,,,
Willand,,Halberton,14,3,,,Tiverton,22,Mid Devon,7,56,67,321,83,11,0,47,0,18,0,7,0,0,13%,0%,57%,0%,22%,0%,8%,0%,0%,1.1,70%,30%,0%,0%,0.42,86%,,,
Winkleigh,,North Tawton & Winkleigh,28,19,Historically,,Torrington,23,Torridge,9,275,360,"1,596",341,45,14,164,0,62,2,30,24,0,13%,4%,48%,0%,18%,1%,9%,7%,0%,0.91,65%,27%,1%,7%,0.36,73%,,,
Witheridge,,Witheridge,31,18,Historically,,South Molton,18,North Devon,10,249,250,"1,263",330,56,5,172,0,72,8,5,8,4,17%,2%,52%,0%,22%,2%,2%,2%,1%,1.11,71%,25%,2%,2%,0.49,100%,,,
Withycombe Raleigh (incl part of Exmouth),,East Budleigh,5,21,,Medium,Aylesbeare,1,East Devon,6,219,233,"1,063",234,10,11,44,0,70,34,26,23,16,4%,5%,19%,0%,30%,15%,11%,10%,7%,0.94,28%,48%,15%,10%,0.59,121%,,,
Wolborough (incl most of Newton Abbot),,Haytor,17,23,Yes,,Ipplepen,11,Teignbridge,5,442,467,"2,194",498,6,3,56,2,339,52,22,12,6,1%,1%,11%,0%,68%,10%,4%,2%,1%,0.97,13%,74%,10%,2%,0.64,130%,,,
Woodbury,,East Budleigh,5,22,,Large,Aylesbeare,1,East Devon,6,322,329,"1,673",403,66,25,175,0,79,5,17,36,0,16%,6%,43%,0%,20%,1%,4%,9%,0%,1.03,66%,24%,1%,9%,0.43,88%,,,
Woodland (linked to Ipplepen),,Haytor,17,11,,,Ipplepen,11,Teignbridge,5,39,39,237,45,16,0,24,0,2,2,0,0,1,36%,0%,53%,0%,4%,4%,0%,0%,2%,0.81,89%,7%,4%,0%,0.4,81%,,,
Woodleigh,,Stanborough,26,19,,,Woodleigh,25,South Hams,4,45,47,279,71,16,0,41,0,13,1,0,0,0,23%,0%,58%,0%,18%,1%,0%,0%,0%,1.08,80%,18%,1%,0%,0.46,95%,,,
Woolfardisworthy (in Mid Devon),,Witheridge,31,19,,,South Molton,18,Mid Devon,7,36,39,226,57,11,3,38,0,3,1,0,0,1,19%,5%,67%,0%,5%,2%,0%,0%,2%,1.07,91%,7%,2%,0%,0.42,85%,,,
Woolfardisworthy (near Hartland),,Hartland,15,4,,,Hartland,8,Torridge,9,137,141,840,195,36,8,136,0,12,2,0,1,0,18%,4%,70%,0%,6%,1%,0%,1%,0%,0.99,92%,6%,1%,1%,0.37,75%,,,
Yarcombe,5,Axminster,1,14,,,Dunkeswell,6,East Devon,6,148,148,804,226,11,25,88,0,34,1,0,67,0,5%,11%,39%,0%,15%,0%,0%,30%,0%,1.2,55%,15%,0%,30%,0.41,84%,,,
Yarnscombe,,Hartland,15,5,,,Barnstaple,2,Torridge,9,74,104,498,110,33,5,45,0,17,0,0,6,4,30%,5%,41%,0%,15%,0%,0%,5%,4%,0.94,75%,19%,0%,5%,0.42,86%,,,
Yealmpton,,Plympton,22,8,,Medium,Plympton,15,South Hams,4,232,241,"1,262",310,18,3,110,0,105,22,28,11,13,6%,1%,35%,0%,34%,7%,9%,4%,4%,1.05,42%,47%,7%,4%,0.54,110%,,,
Zeal Monachorum,,North Tawton & Winkleigh,28,20,,,Chulmleigh,5,Mid Devon,7,121,125,747,149,20,2,77,0,40,2,0,8,0,13%,1%,52%,0%,27%,1%,0%,5%,0%,0.85,66%,27%,1%,5%,0.35,73%,,,
